,Node.Length,Node.Width,Leaf.Length,Leaf.Width,Species
1,5.1,3.5,1.4,0.2,cabernet
2,4.9,3,1.4,0.2,cabernet
3,4.7,3.2,1.3,0.2,cabernet
4,4.6,3.1,1.5,0.2,cabernet
5,5,3.6,1.4,0.2,cabernet
6,5.4,3.9,1.7,0.4,cabernet
7,4.6,3.4,1.4,0.3,cabernet
8,5,3.4,1.5,0.2,cabernet
9,4.4,2.9,1.4,0.2,cabernet
10,4.9,3.1,1.5,0.1,cabernet
11,5.4,3.7,1.5,0.2,cabernet
12,4.8,3.4,1.6,0.2,cabernet
13,4.8,3,1.4,0.1,cabernet
14,4.3,3,1.1,0.1,cabernet
15,5.8,4,1.2,0.2,cabernet
16,5.7,4.4,1.5,0.4,cabernet
17,5.4,3.9,1.3,0.4,cabernet
18,5.1,3.5,1.4,0.3,cabernet
19,5.7,3.8,1.7,0.3,cabernet
20,5.1,3.8,1.5,0.3,cabernet
21,5.4,3.4,1.7,0.2,cabernet
22,5.1,3.7,1.5,0.4,cabernet
23,4.6,3.6,1,0.2,cabernet
24,5.1,3.3,1.7,0.5,cabernet
25,4.8,3.4,1.9,0.2,cabernet
26,5,3,1.6,0.2,cabernet
27,5,3.4,1.6,0.4,cabernet
28,5.2,3.5,1.5,0.2,cabernet
29,5.2,3.4,1.4,0.2,cabernet
30,4.7,3.2,1.6,0.2,cabernet
31,4.8,3.1,1.6,0.2,cabernet
32,5.4,3.4,1.5,0.4,cabernet
33,5.2,4.1,1.5,0.1,cabernet
34,5.5,4.2,1.4,0.2,cabernet
35,4.9,3.1,1.5,0.2,cabernet
36,5,3.2,1.2,0.2,cabernet
37,5.5,3.5,1.3,0.2,cabernet
38,4.9,3.6,1.4,0.1,cabernet
39,4.4,3,1.3,0.2,cabernet
40,5.1,3.4,1.5,0.2,cabernet
41,5,3.5,1.3,0.3,cabernet
42,4.5,2.3,1.3,0.3,cabernet
43,4.4,3.2,1.3,0.2,cabernet
44,5,3.5,1.6,0.6,cabernet
45,5.1,3.8,1.9,0.4,cabernet
46,4.8,3,1.4,0.3,cabernet
47,5.1,3.8,1.6,0.2,cabernet
48,4.6,3.2,1.4,0.2,cabernet
49,5.3,3.7,1.5,0.2,cabernet
50,5,3.3,1.4,0.2,cabernet
51,7,3.2,4.7,1.4,merlot
52,6.4,3.2,4.5,1.5,merlot
53,6.9,3.1,4.9,1.5,merlot
54,5.5,2.3,4,1.3,merlot
55,6.5,2.8,4.6,1.5,merlot
56,5.7,2.8,4.5,1.3,merlot
57,6.3,3.3,4.7,1.6,merlot
58,4.9,2.4,3.3,1,merlot
59,6.6,2.9,4.6,1.3,merlot
60,5.2,2.7,3.9,1.4,merlot
61,5,2,3.5,1,merlot
62,5.9,3,4.2,1.5,merlot
63,6,2.2,4,1,merlot
64,6.1,2.9,4.7,1.4,merlot
65,5.6,2.9,3.6,1.3,merlot
66,6.7,3.1,4.4,1.4,merlot
67,5.6,3,4.5,1.5,merlot
68,5.8,2.7,4.1,1,merlot
69,6.2,2.2,4.5,1.5,merlot
70,5.6,2.5,3.9,1.1,merlot
71,5.9,3.2,4.8,1.8,merlot
72,6.1,2.8,4,1.3,merlot
73,6.3,2.5,4.9,1.5,merlot
74,6.1,2.8,4.7,1.2,merlot
75,6.4,2.9,4.3,1.3,merlot
76,6.6,3,4.4,1.4,merlot
77,6.8,2.8,4.8,1.4,merlot
78,6.7,3,5,1.7,merlot
79,6,2.9,4.5,1.5,merlot
80,5.7,2.6,3.5,1,merlot
81,5.5,2.4,3.8,1.1,merlot
82,5.5,2.4,3.7,1,merlot
83,5.8,2.7,3.9,1.2,merlot
84,6,2.7,5.1,1.6,merlot
85,5.4,3,4.5,1.5,merlot
86,6,3.4,4.5,1.6,merlot
87,6.7,3.1,4.7,1.5,merlot
88,6.3,2.3,4.4,1.3,merlot
89,5.6,3,4.1,1.3,merlot
90,5.5,2.5,4,1.3,merlot
91,5.5,2.6,4.4,1.2,merlot
92,6.1,3,4.6,1.4,merlot
93,5.8,2.6,4,1.2,merlot
94,5,2.3,3.3,1,merlot
95,5.6,2.7,4.2,1.3,merlot
96,5.7,3,4.2,1.2,merlot
97,5.7,2.9,4.2,1.3,merlot
98,6.2,2.9,4.3,1.3,merlot
99,5.1,2.5,3,1.1,merlot
100,5.7,2.8,4.1,1.3,merlot
101,6.3,3.3,6,2.5,mencia
102,5.8,2.7,5.1,1.9,mencia
103,7.1,3,5.9,2.1,mencia
104,6.3,2.9,5.6,1.8,mencia
105,6.5,3,5.8,2.2,mencia
106,7.6,3,6.6,2.1,mencia
107,4.9,2.5,4.5,1.7,mencia
108,7.3,2.9,6.3,1.8,mencia
109,6.7,2.5,5.8,1.8,mencia
110,7.2,3.6,6.1,2.5,mencia
111,6.5,3.2,5.1,2,mencia
112,6.4,2.7,5.3,1.9,mencia
113,6.8,3,5.5,2.1,mencia
114,5.7,2.5,5,2,mencia
115,5.8,2.8,5.1,2.4,mencia
116,6.4,3.2,5.3,2.3,mencia
117,6.5,3,5.5,1.8,mencia
118,7.7,3.8,6.7,2.2,mencia
119,7.7,2.6,6.9,2.3,mencia
120,6,2.2,5,1.5,mencia
121,6.9,3.2,5.7,2.3,mencia
122,5.6,2.8,4.9,2,mencia
123,7.7,2.8,6.7,2,mencia
124,6.3,2.7,4.9,1.8,mencia
125,6.7,3.3,5.7,2.1,mencia
126,7.2,3.2,6,1.8,mencia
127,6.2,2.8,4.8,1.8,mencia
128,6.1,3,4.9,1.8,mencia
129,6.4,2.8,5.6,2.1,mencia
130,7.2,3,5.8,1.6,mencia
131,7.4,2.8,6.1,1.9,mencia
132,7.9,3.8,6.4,2,mencia
133,6.4,2.8,5.6,2.2,mencia
134,6.3,2.8,5.1,1.5,mencia
135,6.1,2.6,5.6,1.4,mencia
136,7.7,3,6.1,2.3,mencia
137,6.3,3.4,5.6,2.4,mencia
138,6.4,3.1,5.5,1.8,mencia
139,6,3,4.8,1.8,mencia
